Institution Name,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Social Impact,Environmental Impact,Governance,Equality,Knowledge Exchange,Impact of Education,Employability and Opportunities,Health and Wellbeing,Environmental Sustainability,Environmental Education,Environmental Research,Class
RUDN University,24.4,48.7,92,2.1,8,92.2,89.7,10,54.2,57.1,78.4,40.3,84.5,42.3,54,47.3,31.6,73.9,61.6,3
Shandong University,16.6,35.5,16.7,88.2,8.2,3.1,64.1,20.7,70.2,48.7,26.9,57.5,79.1,56.3,87.4,64.8,11.3,59.4,75.4,3
Simon Fraser University,24,11.4,6.2,36.6,97,83.9,76.8,22.8,85,75.4,90.3,91.2,82.1,82.2,75,93.6,65.7,70.5,88.1,3
University of Colorado Boulder,36.1,17.5,38.3,34.9,32.2,4.9,86.3,31.6,79.4,69.7,31,81.5,75.8,76,81.4,75.2,55.2,69.2,82.7,3
Universidad Politécnica de Madrid (UPM),31.3,56.5,16.7,11.4,3.2,32.1,81.1,60.7,77.8,77.4,93.5,68.3,87.4,67.3,77.1,93.8,66.4,73,91.2,3
L.N. Gumilyov Eurasian National University (ENU),34.4,62,92.6,1.4,68.7,8.2,22.8,5.5,51.2,43.9,83.8,42.4,74.1,58.3,47.4,30.6,39,61.9,24,3
National Technical University of Athens,21.3,44.9,4.6,76,1.3,4.6,72.7,39.6,60.4,35.6,28,46.7,60,61.5,72.8,68.8,11,25.4,75.7,3
University of Southern Denmark (SDU),20.2,15.9,22.3,49.3,85.5,24.1,81.1,21.3,79.9,68.1,69.7,75.6,77.8,84.8,76.9,88.5,48.8,61.5,95.7,3
University of Miami,19,29.5,50,39.3,66.7,16.9,81.6,43.8,75,49.8,31.5,68.6,70.5,72.5,86.5,73.4,13.8,56.9,79.2,3
Istanbul Technical University,27,67.2,9.7,17,8.3,19.8,76.1,69.1,71.1,70.6,87.8,64.2,89.8,59,72,63.4,74.7,63.7,71.8,3
Daegu Gyeongbuk Institute of Science and Technology (DGIST),10.5,11.8,84.1,99.9,6.6,3.3,12.3,2.7,44.3,33.8,77.3,44,40.7,25.8,56.8,57.3,41,1,66.3,3
Rutgers University–New Brunswick,36.2,28.1,46.3,12.8,18,28.2,78,25.7,88.4,82.4,89.7,97.5,83.8,74.1,85.6,94.6,58.3,88.9,97.5,3
Kyung Hee University,23.2,37.1,82.1,15.1,14.3,53.4,54.5,13.8,79.2,70.8,89.7,71.1,71.5,73.7,91.8,88.5,57.9,66.1,88.2,3
University of Delhi,38.1,35.3,4.3,25.9,1.3,1.5,75.1,96,65.5,76.7,87.3,62.6,90.8,55,55.3,57.9,66.7,91.8,64.5,3
Sun Yat-sen University,31.8,28.8,46.4,49.5,2.2,3.6,77.4,21.4,69.2,46.7,22.9,55.1,74.5,65.6,82.4,65.6,8.7,54.8,77.7,3
University of East Anglia (UEA),17.2,7.2,15.2,58.7,66.8,32.2,87.9,19.2,86.1,75.8,94.6,95.7,87.4,70,75.6,99.4,49.7,78.4,98.1,3
American University of Sharjah,20.9,38.6,19.1,23.9,100,100,48.1,48,62.8,49.4,42.4,71.6,64.5,40.8,67.1,57.7,27.9,61.4,56.2,3
Université Grenoble Alpes,44.7,14.3,7.9,41.7,20.2,35.1,94.9,20.7,69,51.9,23.5,62.5,67.9,71.3,71.8,75,17,57.7,81.5,3
Indian Institute of Technology Roorkee (IITR),19.4,29,6.8,93.8,1.3,2,44.3,6.4,63.9,57.7,79.2,61.8,82.4,42.1,61.8,70.6,52.5,44.5,77.6,3
Flinders University,13.5,5.6,7.2,51.8,97.2,88.8,80.8,7.4,80.1,77.2,90.7,93.1,71.7,84.7,63.4,90.1,76.7,68.3,85,3
University of the Philippines,36.3,65.3,31.1,1.9,1.6,1.1,60.9,65.6,73.6,68.4,78.8,62.3,94.9,65,74.3,63.4,47.2,88.3,62.7,3
Lappeenranta-Lahti University of Technology LUT,6.4,9.4,9.5,97.6,56.8,28.5,55.6,7.9,68.3,68.1,67.9,65.6,65.2,72.8,59.7,92.4,55.6,56.5,94.5,3
Sichuan University,20.4,12.3,10.3,98.5,7.1,4.9,71.3,12.9,65.1,43.5,27.4,53.9,67.6,56.4,80.8,64.2,13.8,46.4,71.7,3
University of Saskatchewan,11.1,5.3,18.2,57,77.3,49.5,82.3,32.1,82.2,79.9,87.9,91.4,80.8,80.5,66,93,66.8,76.5,95.5,3
University of South Australia,21.3,12.7,24.9,31.9,99.8,50.9,85.5,15.5,88,67.5,77.9,93.9,88.2,83.9,75.1,97,48.2,66.6,87.5,3
Brunel University London,11.1,13.3,7.1,46.5,99.1,99.8,77.9,19.9,83.3,59.3,86.9,95,85.6,68.2,68.9,95.6,51.8,37.6,92.9,3
Sharif University of Technology,11.5,33.6,5.1,99.9,2.9,1.2,61.4,28.2,41.9,29.9,16.3,14.6,56.2,32.8,61,57.1,4.1,23.8,66.7,3
Tufts University,16.9,7.7,53.5,45.7,23.5,38.1,60.2,56.1,83.6,67.5,86.2,96.5,80.8,74.4,70.3,94.8,47.7,61.8,93.8,3
University of Oulu,15.1,13.5,25.3,59.4,65.3,8.6,89.4,21.7,81.5,61.6,77.4,83.8,73.2,84.1,75.2,95.6,37.8,54.6,94.6,3
Indian Institute of Technology Guwahati (IITG),18.8,32,6.4,97.6,2.3,1.2,51.2,4.9,38.5,45.8,21.5,20.9,58.2,15.8,54.4,47.9,23.6,52.6,60.6,3
University of Naples - Federico II,36.6,19.7,4.2,65.1,2.2,1.1,92.5,7.3,74.3,44.4,29.9,59.4,80.4,82.1,79.1,75.3,5.2,52,77.7,3
Tilburg University,14.7,32.5,10.5,55.1,98.4,60.6,56.8,14.3,74.6,36.5,39.6,81.8,67.5,85.1,71.5,58.7,30.5,25.5,56.2,3
University of Victoria (UVic),17,7.7,3.9,62.5,94.7,40.9,54.2,11.3,81.3,70.2,93.1,97.1,73.4,76.4,66.3,93.2,44.6,70.2,96.3,3
Cairo University,45.8,41,8.8,3,2.9,7.2,86.4,95.5,73.6,54.8,77.1,70.8,89.7,57,74.6,66.2,40.2,56.6,67.3,3
Sciences Po ,16.8,34.8,81.1,2.8,52.7,97.2,31.4,97.7,61.6,40.3,27.3,73,37.2,82.5,62.5,51.7,36,22.6,66.9,3
"City, University of London",20.8,21.3,5.6,31.2,95.8,98.9,66.4,54.8,72.9,44.6,46.8,78.3,66.3,69.3,76.3,68.4,31,49.6,51.2,3
National University of Sciences And Technology (NUST) Islamabad,20.4,71.6,68.8,14.5,4.3,4,73.6,2.8,69.2,64.5,46.6,55.5,86.4,55.3,76.2,69.2,48.2,64.9,80.2,3
University of Pretoria,23.9,48.8,4,15.5,33.3,8.2,98.1,80.1,81.7,67.5,89.1,81.4,98.7,73.5,70,79.5,50.3,69.4,81.4,3
University of Coimbra,29.4,10.8,10.3,49.8,8.1,22.9,91.2,31.1,80.6,68.4,75.2,81.7,89.3,77.9,67.1,88.1,41.8,67.5,96.4,3
Indiana University Bloomington,33.4,23.6,23.3,29.1,36.3,10.8,86.6,56.8,79.4,48.7,33.6,72.2,76.3,81.6,88.8,74.6,22.3,47.4,78.6,3
University of Luxembourg,9.2,4.5,80.8,25.2,100,100,70.1,52.8,57.9,32,22.4,57.1,44.4,80.2,55.2,63,13,28.3,57.2,3
University of Tartu,22.9,10.5,93.7,10.8,48.6,15.1,88.8,85.7,68.1,40.1,68.2,65.9,83.6,66.4,55.9,72,28.5,25.6,70.3,3
University of Aveiro,13.9,5.6,11.1,90.6,4.2,15.3,89,2.7,69.5,64.7,82.3,69.7,71.8,71.6,57.8,84.1,35,64.3,96.5,3
