Institution Name,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Social Impact,Environmental Impact,Governance,Equality,Knowledge Exchange,Impact of Education,Employability and Opportunities,Health and Wellbeing,Environmental Sustainability,Environmental Education,Environmental Research,Class
Nanjing Agricultural University,5,1.9,7.5,67.6,0,1.5,48.2,1.4,44,40.1,22,34.6,60.7,17.5,50.3,64.4,4.8,45.2,72,2
The National University of Science and Technology MISIS,6.2,9,74.2,13.8,7.9,43.1,44.7,9.2,37.3,36,72.8,37.6,49.9,22.9,38.2,40.4,33.2,41,30.8,2
Université de Franche-Comté,6.5,2.1,100,12.4,0,0,76.7,3.2,43.1,35.8,21.2,31.4,55.4,32.1,44.9,67.6,5.2,36.5,68.8,2
University of Mumbai,9.1,28.8,2.8,30.9,2,2,18.3,81.4,41.7,36,27.7,45.3,51.1,34.7,48.8,17.9,11.7,60.9,29.3,2
Saint Joseph University of Beirut (USJ) ,8.2,16.4,50.7,2.4,91.3,25.8,13.1,33.4,44.3,22.2,50.8,37.4,66,47.2,34.3,41.6,1.5,32.8,31.7,2
Konkuk University ,7,8.1,61.8,17.1,9.5,17.7,46.8,9,57.7,55.9,83.5,46.5,50.5,54.6,67.3,83.7,33.1,50.5,86.1,2
Budapest University of Technology and Economics,15.6,25.7,13.7,8.5,2.8,14.8,56.6,33.2,57,55.9,78.1,50.5,53.9,54.8,64.3,68,58.2,50.9,57.3,2
University of Modena and Reggio Emilia,8.6,4,2.9,49.7,4,3.6,53.3,15.2,66.7,48,59.5,70.7,63,75.5,57.6,71.8,21.1,46.5,78.4,2
Jadavpur University,17.8,5.9,9.1,40.6,0,1,32.5,14.9,51.4,55.9,47,47,69.3,36.9,46.3,63.6,36.5,68.4,59.1,2
Université de Lille,23.5,5.5,4.8,14.7,14.6,15.8,93.3,4.5,62.5,46.9,22.8,54,64,68,62.5,72.6,18.6,48.5,75,2
Diponegoro University,19.2,41.7,19.3,1.5,27.9,3,27.4,14.6,48.9,44.4,86.4,48.3,74.3,34.4,45.8,34.8,45.9,57.3,24.1,2
Drexel University,8.1,4.5,22.4,28.7,12.6,23.8,73.4,25.1,67.4,36.3,29.2,66.4,61.3,68,70.2,73.2,19.7,20.8,73.9,2
Lanzhou University,8.1,2.5,25.2,45.2,2.3,1.5,64,4.4,53,50.3,24,34.8,67.3,49.1,60.3,64.2,22.5,56.1,72,2
Université de Rennes 1 (University of Rennes),14.9,5.2,11.6,28.3,11.9,11,88.1,6.8,60.4,41.9,22.2,43.9,61.6,82.2,58.1,72.6,5.2,50.8,70.9,2
Riga Technical University,11.5,26.8,22,3,15.7,72,29.9,35,45.9,44.2,75.9,51,51.2,42.7,43.8,40.2,37,53,38.1,2
Middlesex University,5.3,5.3,8.1,10.6,84.4,99.5,58.3,15.2,60.2,33.5,27.7,63.8,47.7,70.2,58.1,68,26.3,13.8,66.8,2
University of Trieste,11.7,4,3.6,43.3,7.3,7.9,70.4,14.6,50.5,36.3,23.6,48.4,46.1,64.8,44.4,64.6,5.2,43.6,60.8,2
Universitat Rovira i Virgili,6.4,2.3,15.2,37.9,7.2,19,77.5,1.8,71.8,47.3,69.7,85.3,71.4,75.3,48.8,83.7,46.9,17.8,84.8,2
Université Côte d\'Azur,15.5,4.1,5.7,18.3,29.3,38.3,78.4,8.9,65.5,50.5,34.4,54.8,69.8,72.8,56.9,89.5,36.6,29.7,91.4,2
University of Belgrade,17.6,8.4,4.6,5.3,2.8,4,95.2,96.4,57.2,35.1,25.1,41,68.2,84.4,51.3,53.3,10.7,40.4,54.5,2
Victoria University ,6.9,6.1,2.4,34.1,32.7,41.5,44.9,6.4,77.1,44.4,70.2,94.3,68.8,78.9,55.6,93.6,43.4,20.1,75,2
Carleton University,11.1,13.5,3.8,15.6,13.2,43.7,67.3,34.3,71.3,52.3,31.6,68.3,74.5,80.6,65.1,69.8,49.6,33.7,77.7,2
Universiti Malaysia Pahang,10.8,5.3,15.8,35,22.1,8.6,54.7,4,54.4,57.5,49.2,49.1,79.7,50.5,41.8,53.1,40.7,59.7,71.3,2
University of the West of England,9,9,7.5,11.9,46.9,75.3,76.1,2.1,69.7,42.4,30.3,73.1,66.7,68.7,67,72.2,20.7,35.8,74,2
University of Central Florida,13.7,23,2.9,23.6,9.5,4.3,72.2,9.2,68.8,41,28.4,64.1,54.1,71.6,83.9,72.2,4,43.5,78.5,2
Altai State University,11.7,3.3,87.5,1.4,6.3,60,18.8,1.9,42.9,51.2,85.5,59.7,42.9,43.1,31.3,36.4,46,69.8,29.7,2
Vytautas Magnus University,10.4,16.8,41.8,2.4,26.7,47.8,48.1,21.6,50.5,41,69.2,55,43.2,49.2,49.7,63.8,22,35.1,68.8,2
V. N. Karazin Kharkiv National University,12.6,16.9,64.6,1.4,3.3,55.7,29.4,4,44.9,38.7,83.1,58.2,78.6,14.9,27.3,33.8,36.2,51.5,23.2,2
Universität Regensburg,10.3,6,80,6.1,0,8.5,69.1,15.3,56.1,26.8,21.5,51.8,44.3,72.9,59.8,62.6,8.7,22,53.2,2
University of Westminster,11.5,6.8,5.7,5.1,77.4,100,35.4,21.7,56.5,22.7,23.6,62.5,49.4,64.7,54.7,53.1,6.3,17.3,48.6,2
Wake Forest University,5.1,6.3,100,8.6,3.2,10.9,42.8,15.4,58.8,18.4,26.2,62.1,48.5,66.9,56.1,65.8,4,8.5,48,2
University of Messina (UniME),8.4,2.3,14.2,36.7,1.3,6,75.6,1.6,65.3,54.8,82,73.3,58.3,65.3,52.7,88.1,44.5,39.1,84.4,2
Universidade de Brasília,25.3,7.9,7.1,4.2,10.8,1.5,67.5,29.6,60.7,57.5,86.2,68.3,80.9,35.4,43.2,75,36.8,69.8,62.5,2
Kaunas University of Technology,11.2,18.5,31.1,7.9,3.5,28.6,64.2,23.2,56.3,47.1,79.5,64.5,44.5,64,53.4,58.3,58.7,31.4,52,2
University of Engineering & Technology (UET) Lahore,10,43.2,18,6.7,1.1,1.8,41.6,47.7,50,51.2,33.1,38.9,63.3,40.8,65.4,34.4,51.4,50.7,49.3,2
Technische Universität Braunschweig,10.9,14.3,55.5,5.5,0,24.2,66.4,12.6,59.1,44.2,21.3,51.3,53.3,60.9,67.1,70.8,16.6,46.5,70.6,2
Universita' Politecnica delle Marche,5.9,2.8,10.1,48.4,4.9,6.3,77.7,1.9,58.8,42.1,24.2,60.2,53,68.2,54,68.4,12.2,42.9,74.2,2
Tokyo University of Science,10.4,51.5,9.4,10,12.5,3.7,20.3,41,45.2,34.2,48.6,38.4,41.8,15.2,66.6,70,24.6,22,59.8,2
University of Malta,6.1,4.6,31.7,7.2,18,19.2,75.9,95.9,49.6,31.1,22.6,42.1,51.7,72.1,42.3,51.1,11.8,28,55.7,2
University of Calcutta,17.1,6.5,5.5,21.4,24.7,1.1,56,49.8,41,34.9,22.8,32.6,61.7,39.9,37.1,37.4,8,48,46.7,2
University of Patras,11.7,17.1,2.7,27,1.4,4.8,60.6,3.7,65.3,62.5,73.4,63.2,70.7,51.9,63.9,81.7,39.9,64.2,83,2
University of Cincinnati,11,6,19.4,22.9,4.3,12.4,69,25.3,72.7,46.7,35.9,73,69.3,74.2,72.7,74.4,15.7,49.5,75.8,2
"University of Colorado, Denver ",8.2,6.1,100,3.6,3.4,8.1,45.7,5.6,58.4,33.3,27.5,47.9,51.5,70.6,65.8,67,4,36.3,61.6,2
Nanjing University of Aeronautics and Astronautics,5.5,3.4,12.4,57.8,5.3,3,39.7,1.4,50,27.9,20.2,35.1,61.9,37,61.8,59.8,4.8,16.4,68.3,2
King Faisal University,16.4,12.7,14.5,2.7,98,3.9,59.3,8.7,51.2,23.2,29.4,41.6,57.3,47,55.4,63.8,16.8,14.6,40.8,2
Bangladesh University of Engineering and Technology,16.9,36.6,13.6,14.9,0,1,25.1,22.2,44.9,22.9,17.8,26.9,61.9,17.1,69.4,48.1,4.7,14.9,54,2
"University of Maryland, Baltimore County",10.2,6.8,14.1,13.5,49.8,25.8,45,4.5,70.6,64.5,77.9,94.8,53.5,61.1,55.4,90.9,45.1,64.9,82.7,2
Universidad del Rosario,15.8,28.5,24.2,2.5,7.2,2.7,31.8,41.1,64.8,43,94.7,81.9,77.1,49.3,45.8,63.4,40.7,35,53.5,2
Verona University,9.1,2.7,4.1,41.6,4.5,4.2,71,3.1,70.4,38.5,82.8,80.2,60.8,70.8,57.7,92.6,36,16,69.6,2
Université de Tunis El Manar,9.4,4.3,26,5.1,39.5,7.8,82.1,54.1,57.9,47.3,72.2,65.6,87.6,39.4,34.9,58.3,43.3,43.8,54.9,2
University of Pecs,14.3,11.9,41.4,2.8,9.3,64.3,40.3,4,50.3,46.4,82.5,56.8,55.5,40.7,41.7,62.4,53.6,42.4,41.4,2
Chiba University,16.6,8.5,66.1,8.8,7.5,4.3,28.9,3.8,52.8,48.9,39.6,52.8,51.1,32.6,64.9,63,28.7,56.6,60.3,2
Bournemouth University,5.8,6.4,6.1,16.4,80.3,47.1,72.6,4.8,63,33.8,28.3,67.4,53.6,68.6,59.9,70.8,6.3,25,75.2,2
China University of Geosciences,5.1,1.4,53.6,31.8,1.5,2.7,67,1.4,50.5,43.5,21.6,34,65.7,46.3,54,64.8,4.8,54.4,72.6,2
Addis Ababa University,6.4,9.3,58.8,1.7,0,0,55.2,95.5,53,36.9,27,33.7,70.3,65.1,52.2,56.9,9.4,38.9,64.9,2
Texas Tech University,10.9,10.6,6.2,11.3,36.6,9.6,70.5,13.7,76.2,56.4,82.7,83.1,71.5,67.9,70.2,88.1,23.6,61.7,84.8,2
Universidade Federal de Santa Catarina ,19.3,4.8,19.2,8.5,4.1,2.2,62.1,17.3,61.6,69,81.5,66.7,74.9,45.9,48.2,75.9,60.3,66.8,78.8,2
Babes-Bolyai University,15.5,19.5,5.3,4.4,7.8,3.8,80.1,26.7,71.3,53.4,80.5,69.4,80.5,74.5,57.8,79.3,29.6,61.9,67.4,2
Kasetsart University,25.2,18.6,6.5,2.5,4.3,1.3,51.9,18.5,63.2,60.7,57.4,68.4,78.8,30.7,64.4,63.4,41.6,72.6,64.3,2
University of Latvia,11.5,16.7,5.9,5.3,12.1,5.1,71.5,90.4,57.4,41.9,60.4,61.9,53.6,69.5,49.4,58.5,29.8,53.3,38.3,2
Qassim University,10.6,5,33.9,1.8,98.3,7.9,68.3,2.4,49.1,46.7,72,51.5,53.6,37.5,48.3,57.9,41.9,32.8,67.8,2
University of Mons ,7.1,7,3.4,37.3,35,33.7,43.7,6.1,39.9,37.6,19.1,41,39.1,37.3,38.6,56.5,15.1,35.1,64.8,2
Zürcher Hochschule Winterthur,5.4,6.6,75,2.7,65.9,12.8,41.4,5.3,49.8,26.8,25.6,38.7,47.2,55,58.5,61.4,7.5,15.4,62.9,2
National University of Uzbekistan,25.5,15.8,5.2,1.3,89,2.5,11.8,20.4,34.1,27.4,80.8,47.6,50.8,13.6,18.7,39.6,41.9,18.5,21.5,2
Vellore Institute of Technology (VIT),12.7,16.1,7.3,18.9,8.9,2.9,76.9,6.1,54.7,64.1,66,45.4,88.6,35.3,48.5,54.9,72.1,53.6,65.5,2
New Jersey Institute of Technology (NJIT),4.8,6.7,10.2,30.4,31.5,52.9,29.1,5.1,60,54.1,76.3,74,39.6,42.3,65.5,79.7,33.5,50.4,79.7,2
University of New Mexico,10.5,8,43.5,14.9,8.2,4,73.1,7.3,67.4,40.8,28.9,61.9,68.8,70.8,68.2,70.8,4,44.9,76.1,2
University of Kentucky,11.1,9.8,15.3,23.5,12.9,3.3,75.4,13.9,71.1,35.1,30.7,71.1,64.8,70.5,75.9,73,17.8,20.4,72.3,2
Keele University ,6,4.4,14.4,26.2,51.6,30.7,62.9,6.9,57.4,31.7,24.6,55.3,55.9,67.7,55.9,60.2,6.3,31.7,59.8,2
Wayne State University,7.6,3.4,62.1,10.6,13.3,5.4,73.6,19.4,63.9,24.1,29.7,61.8,56.9,67,67.4,71.2,8.9,7.4,62.2,2
Universidad de Antioquia,29.1,20.8,4.1,4.3,3.7,1.2,48.1,20.4,51,35.8,31.1,37,75.2,55,45.7,47.1,14.1,53,36.6,2
Instituto Politécnico Nacional (IPN),19.1,28.8,9.1,2,2.2,1.1,46,6.8,63.7,56.2,79.7,60.5,75.1,54.3,62.1,66.6,32.8,70.7,61.6,2
University of Alicante,13.5,6.7,25.3,7.7,7.3,12.8,71.7,7.6,69,47.8,78.6,78.4,68.8,78,47.8,77.7,29.6,35,83.1,2
"Birla Institute of Technology and Science, Pilani",11,19.7,8,20.4,2.2,2.5,37.6,25.4,59.8,58.6,70.3,50.9,78.1,49.9,56.3,67.4,50.7,57.8,66.3,2
Rutgers University–Newark,10.1,4.9,17.5,17.6,25.3,32.7,27.9,36.9,63,51.9,81.2,83.5,44.7,50.4,57.4,81.9,43,54.4,56.3,2
Universiti Tunku Abdul Rahman (UTAR),14,30.9,12.4,5.8,12.7,4.9,45.5,3.8,61.8,53.2,72.1,67.9,77.4,44.6,57.3,53.1,46.7,51.4,60.7,2
University of Bari,12.4,3,4.6,25,4.9,2,81.6,7.7,67.6,48.7,62.6,66.2,64.9,76.3,55.6,92,13,47.7,88.4,2
University of Bucharest,15.2,19.5,7.1,4.2,2.6,2,69.1,53.4,60.2,51.2,84.6,63.7,63.9,63.1,46.6,74.2,27,61.6,62.1,2
Universidad San Francisco de Quito (USFQ),16,8.6,40.1,2.4,53.1,1.9,24.9,13.2,57.7,50.3,82.7,79.7,65.5,33.1,36.5,72.8,52.5,50.4,44.6,2
University of Salerno,8.6,2.4,5.6,37.1,3.3,1.6,87.4,4,68.5,40.6,69,72.5,66.2,74.7,53.1,89.5,15.1,41.1,66.9,2
Kuwait University,14.7,7.9,6.8,2.9,20.4,19.4,39.3,93.8,57.7,48.5,72,66.2,56.2,71.5,42.9,57.9,25.9,61.5,54.8,2
University of Oregon,18.3,9.4,9.4,18.5,7.6,3.6,53.4,23.3,65.3,49.6,27.5,70.3,55.4,71.3,63.8,70.6,4,66.5,77.5,2
London South Bank University,3.3,2.9,9.1,4.4,87.1,96.8,47.6,8.5,60,42.8,77.5,82.5,45,55.4,47.1,72.6,46.1,24.4,61.9,2
Liverpool John Moores University,10,6.8,8,12.3,46.7,22.4,87.7,5.4,71.5,39.7,30.1,73,65.9,69.6,73.1,75,14.3,33.9,74.3,2
Université de Lorraine,13.6,3.3,7,12.9,27.6,27.4,95.9,14.8,61.6,49.1,22.7,50,65.4,68.4,62.5,72.8,21.6,50.7,76.9,2
Syracuse University,12.9,8.7,11.6,10.6,5.8,39.3,55.5,42.7,67.8,41.5,27.8,71.1,59.9,73.8,67.5,68,4,48.1,73.6,2
Università degli Studi di Perugia,9.1,2.3,3.5,40.9,6.4,5.4,65.9,1.7,61.8,43.7,44,63,49.9,74.2,58.1,73,13,48.4,70.6,2
Universitas Brawijaya ,19.2,42.4,11.5,1.4,13.7,1.4,19.6,13.1,49.6,42.4,87.3,49.5,69.5,35.9,49.5,35.2,31.7,62.8,25.4,2
Alexandria University ,23.1,18.3,4.5,2,1.7,4.8,76.4,24.3,57.7,38.7,49.1,54.5,67.3,46.9,61.6,56.9,31,28.2,59,2
The Catholic University of Korea ,4.5,2.9,98.6,14.1,3.8,22.5,10.5,1.9,52.8,35.1,82.6,64.1,33.3,66.9,43,71,39.3,33,31.7,2
University of Brighton,7.9,6.1,8.5,14.9,54.8,51.1,72.5,6.1,66.5,34.2,25.9,62.4,62.6,71.5,67.3,73.8,6.3,33.5,66.4,2
Maynooth University,10.4,7.7,9.2,12.7,87.4,16.7,48.5,9.2,60.9,38.7,30.4,74.2,45.1,75.1,48.2,69.4,10.8,40.2,67.4,2
Universität Duisburg-Essen,11.3,4.2,13.2,11.2,35,39.4,81.4,12.2,66.9,32.4,24.8,64.6,55.6,77.7,69.6,71.6,16.6,13.4,74.1,2
University of Ulsan ,5,2.3,60,33.6,2,2.4,28.8,3.8,58.1,32.9,58.8,59.3,45.2,60.9,58.4,80.7,15.1,35.4,48.8,2
Philipps-Universität Marburg ,12.7,8.8,5.2,25,14.9,20.7,61.6,4.8,62.5,34.9,23.1,53,63,76.3,59.8,71.8,8.7,36.5,61.2,2
University of Stavanger,7.1,5.8,84.6,5,0,0,69.6,10,58.6,39,21.1,55.9,48.9,74.1,57,67.4,6.3,47.1,64.6,2
"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",16.2,31.8,37.4,1.5,1,2,20.4,21.3,39.6,43.5,75.9,39.5,65.6,28.9,31.2,31.8,38.7,63.6,20.6,2
Ocean University of China,5.4,2.7,9.4,50.5,3.2,1.9,51.1,3,51,42.6,22.4,31.6,64,44.3,61,63,4.8,52.6,71.3,2
TU Dortmund University,14.1,16,28.1,6.2,22.4,17.1,61.1,6.8,67.4,24.3,27.3,66,65.6,77.6,67.4,60.4,15.9,12.5,48.2,2
Universität Rostock,7.3,2.9,84.4,5.2,0,13.2,68.8,4.4,52.1,39.7,21.3,38.7,62.7,45.7,57.4,66.2,8.7,44.6,67.3,2
University of Baghdad,11,16.9,24.6,1.5,2.4,1.1,63.5,72.7,41.2,37.8,72.6,55.9,64,15.9,29.5,31.8,30.7,61.9,12.7,2
Ankara Üniversitesi,20.2,16.8,7.8,2.6,2.3,4.6,70.6,53.5,53.3,35.6,22.6,59.3,63.2,60.5,45,31.2,14.4,55.5,32.5,2
Huazhong Agricultural University,4.2,2.1,6,59.7,3.7,1.6,31.6,3,50.7,38.5,22.3,37.9,64.6,45.1,51.3,65,4.8,41.2,72.1,2
University of Alaska Fairbanks,2.7,2,98.8,12.9,4.8,3,42.6,4.2,41.9,43.7,25.5,45.1,40.9,29.4,44,57.9,4,53.6,74.5,2
Edinburgh Napier University,5,5,4,11.8,77.5,86,60.1,4.9,57.4,27.2,21.6,65.5,46.5,60.5,53.3,65.4,11.2,7.8,70,2
Asia University Taiwan,5.9,1.8,3.6,52.5,9.9,3.2,57.1,2,50.7,27.7,27.2,47.5,49.4,57.4,57,44.7,20.6,7.1,61.5,2
Beijing University of Technology,7.7,4.9,38.2,33.1,4.7,1.8,31.9,4.2,45.4,32,20.1,25.5,57.4,39.5,59.3,54.9,4.8,29.1,66,2
Pontificia Universidad Católica de Valparaíso,27,24.4,4.7,6.6,11.3,1.6,39.9,8.7,50.7,26.5,23.7,43.2,40.8,72.5,52.4,57.3,9.1,19.3,54.8,2
Al-Ahliyya Amman University,9.6,10.1,9.4,2.7,75.5,100,16.9,4.6,38.7,26.3,71.6,66.7,51.4,13.9,20.3,31.8,50.5,9.7,18.9,2
Khoja Akhmet Yassawi International Kazakh-Turkish University,16.7,27.9,44.6,1.2,7.1,16.3,3.2,7.7,35.9,27.2,79.6,49.5,22.3,44.3,35.5,32.2,43.7,18.5,18.1,2
Wuhan University of Technology,6.9,2.5,11.5,47,0,2.5,51,5.8,49.8,26.5,20.5,32.4,64.9,48.5,57.6,51.9,4.8,13.5,67.8,2
Immanuel Kant Baltic Federal University,7.6,2.5,79.4,1.8,21.8,40.2,35.2,1.9,30.6,29,58.9,33.7,42.8,29.7,21.5,31.6,7.4,51,24.1,2
University of Hyderabad,13.2,3,14.5,41.5,1.9,2,27,3.1,34.3,33.5,23.5,19.1,60,23.9,33.4,45.5,8,44.6,47.3,2
Chonnam National University,9.3,4.7,45.4,12.4,9,7.3,28.5,4.7,57.9,66.3,87.1,44.1,61.6,48.6,64.9,83.9,49,68,80.1,2
Universidad de Valladolid,10.5,3.8,34.4,4.3,7,3.6,80.2,11.9,65.8,58.6,85,76.8,70.5,73.7,38.5,78.5,46,49.7,82,2
Charles Sturt University ,5.1,5.4,8.2,8.1,45.4,47.9,53.4,7.4,69,55,79.5,79.4,63.4,82.6,49.5,79.9,47.2,45.3,73.6,2
Yildiz Technical University,9.7,24.7,4.2,12.2,9.1,18.5,38.9,19.9,58.1,62.5,75.7,53.3,85,46.2,51,52.9,57,61.2,66.8,2
North-West University,7.4,11,4.9,14.9,6.6,2,92.9,16.7,64.8,47.8,89.1,68.3,75.7,65.3,46.2,73.6,28.5,39.4,78.4,2
Technological University Dublin,12.6,13.1,12.3,3.1,31.8,38.8,43.9,16.2,64.1,49.8,82.6,86.1,53.2,58,48.1,78.9,50.4,31.8,70.3,2
Universita' degli Studi di Ferrara,6.7,2.6,2.6,34.6,2.9,3.6,70,4.1,68.1,53.9,43.1,84.8,61.5,62.4,50.9,83.1,37,55.1,68.3,2
Chungnam National University,8.8,7.8,46.3,10.7,7.2,9.2,32.7,5,63,54.1,58.6,60.1,67.6,51.9,61.8,79.1,34.5,55.3,72.3,2
UNIVERSITY OF GDANSK,12,6.2,34.9,3.9,4.8,2.4,70.6,14.1,63.9,48.2,80.9,81,63.2,60.1,41.2,81.1,14.8,57.7,72.2,2
Okayama University,8.9,3.7,61.3,7.7,6.1,6.3,52.5,2.9,47.5,62,43.1,43,54.7,22.6,47.5,83.7,51.4,63.4,69.3,2
University at Albany SUNY,8.1,4.5,5.4,33.9,3.9,7.2,66,4.2,66.5,45.1,27.4,65.2,62.8,70.3,65.3,73,16.7,45.1,75.7,2
Thapar Institute of Engineering & Technology,4.7,4.4,8.8,46.1,5.2,1.8,31.1,3.1,51.9,48.9,67.4,56.9,66.1,28.1,43.9,68.2,43.5,42.1,61.6,2
Kansas State University ,8.2,6.7,10.3,22.1,10.1,4.6,74.9,13.5,66.2,40.8,27.9,59.4,71.4,64.4,66.9,73.4,4,46.2,73.6,2
University of Lincoln,5.9,4.7,7.9,9.9,74,47.2,58.5,4.8,63.5,43.7,26.4,71.4,51.6,69.6,57.8,70,22,40.7,70.5,2
Université du Québec,15.3,7.6,1.8,10.9,32.9,11,62.6,21.6,62.5,44.2,27.8,54.2,58.6,77.4,62.4,69.2,1.5,53.7,79.3,2
Oklahoma State University ,8.3,8.1,9.2,13.3,49.9,6.1,66.8,17.3,64.8,41,26.5,70.1,55.4,61.6,69,68.8,13,43,68.1,2
University of Wroclaw,14.9,12.6,32.1,3.9,5,8.4,54.3,12,49.6,44.6,79.4,53.8,50.1,57.9,40.1,51.7,20.2,57,54.9,2
Virginia Commonwealth University,7.1,8.5,38.8,12.8,9.7,3.2,73.5,8.2,69.9,33.1,32.9,70.2,65.2,73.4,71.5,70.4,14.8,21.2,68.7,2
Université de Sherbrooke,6.8,4.2,18.8,16.9,54.7,7.6,43,23.4,62.5,41,26.2,60.4,54.8,77.1,61.4,66.6,16.2,37.6,72.5,2
University of Ghana,11.5,7.6,1.9,5.3,4.5,1.7,72.8,95.4,55.1,46.9,30.3,45.6,62.4,63.4,56.3,54.3,22.6,59.7,56.2,2
Université de Nantes,10.4,3.4,7.8,21.4,19.8,15.1,87.3,2.8,60.9,42.6,21.8,50.4,63.5,65.7,61.4,73.4,13,41.8,75.7,2
Georgia State University,11.3,14.2,4.3,22.4,4.8,10.4,62.3,18.2,67.4,33.5,31.1,62.9,64.5,73.2,70.3,70.8,4,35.3,64.2,2
"Vietnam National University, Hanoi ",15.3,18.7,7.6,2.4,5.5,1.2,61,60.1,58.4,42.6,23.2,58,72.5,49.1,55.3,52.9,22.5,49.2,54.3,2
University of Palermo,11.1,2.3,4.4,32.2,2.4,1.9,81.6,4.5,57.2,41.7,24.3,41.6,61.9,73.1,54.3,71.2,5.2,48.7,72.6,2
University of South Africa,10.6,7.2,1.1,7.3,0,7.3,91,92.8,52.4,36,28,50.4,70.6,62.9,33.5,51.9,19.1,42.3,45.1,2
Al-Quds University,5.8,14.6,12.7,1.7,61.5,66.8,30.6,23.5,44.9,33.3,72.1,64.3,74.9,14.3,26,30.6,61.1,18.5,19.3,2
University of Santo Tomas,12.8,39.9,12.5,1.3,34.9,5.8,18.1,14.1,43.3,32,67.5,52.1,58.2,23.9,38,37,36.2,34.3,23,2
University Duesseldorf,12.3,8.5,44.3,7.2,0,14.1,66.2,3.8,61.8,21.8,23.9,50.8,51.5,75.8,68.9,74,8.7,1,63.2,2
Nagasaki University,6.9,2.3,81,6.3,5.8,4.7,49.2,3,46.8,36.3,24,44,47.2,40.2,47.5,67.6,5,43.8,61,2
University of Hertfordshire,4.4,3.7,5.9,5.2,62,100,58.8,10.1,57,25.9,24.2,65.1,48.1,58.6,57.9,54.3,10.4,19.9,50.2,2
Vilnius Gediminas Technical University,8.7,13.8,37.7,7.8,14.7,32.9,41.4,6.9,57,24.5,27.7,61.5,47.7,72.8,57.1,44.1,17.3,17.1,41.9,2
Applied Science Private University - Jordan,9.9,15.7,28.6,3.1,39.3,59.7,10.4,4.6,37.1,32,71.8,58.1,56.7,10,20.9,29.6,57.2,18.5,19,2
AGH University of Science and Technology,9.6,13.9,41.5,6.5,2.9,5.3,75.6,3.2,44.5,34.7,22.2,27.7,55.6,43.6,57.5,42.2,10.1,44.8,48.6,2
University of Mississippi,4.2,2,83,5.5,6.1,2.9,58,3.6,56.5,22.2,25.2,60.7,52.1,52.7,58.5,60.4,4,9.7,59.2,2
Jamia Millia Islamia,9.3,3.1,33.6,26,3.2,5.2,43,1.9,42.4,32.2,33.3,43.6,63.6,26.6,36,39.8,32,20.3,45.8,2
Northwest Agriculture and Forestry University,4.5,1.4,28.5,36.8,0,1.4,58.8,3,47.5,30.4,22.1,35.2,63.3,31,51.9,65.2,4.8,20.1,72.6,2
Shahid Beheshti University (SBU),7.9,7.3,4.1,33.3,1.6,1.6,64.7,19,40.6,36,16.9,19,60.2,50.1,41.2,48.3,4.1,46.5,57.8,2
CY Cergy Paris University,3.7,2.5,49.5,5,47.2,45.9,46,1.5,42.4,30.6,29.5,53,39.7,45.9,34.5,42.3,16.9,32.2,43.4,2
Tokyo University of Agriculture and Technology ,13.8,7.4,12.9,30.5,5.4,7.1,40.4,1.9,32,39,23,15.8,40.7,21.3,45.3,49.1,5,52.1,58.2,2
Clarkson University,1.3,1.9,13.5,41.8,48.5,15,30.6,7.9,37.3,33.1,16.6,49.3,27.5,20.5,45.4,44.9,11.9,29.6,61.1,2
Karaganda State Technical University,9.7,7.7,84.6,1.1,10,18.8,2.4,5.8,29.7,26.5,79.5,44.3,29,23.9,23.9,30.6,42.3,31.3,1.8,2
Mendel University in Brno,6.2,6.5,55.1,4.1,11.2,32.1,59.1,3.8,45.4,22.5,27.4,44.8,63.9,33,37.4,51.3,11.8,12,47.6,2
Poznan University of Life Sciences,5.6,2.2,94.3,6.4,1.9,7.9,31,3.3,30.8,34.5,22.7,30.1,38.1,26.9,25.9,48.7,4.5,41.7,57.6,2
Louisiana State University,9.5,6.7,7.8,12.9,8.6,3.8,52.3,18.8,75.5,54.8,84.7,81.1,69.7,66.9,71.3,91.1,27.8,59,77.6,2
University of Murcia,11.7,2.9,24.5,6.8,1.7,3.9,79.8,3.7,71.5,53,86.8,74.6,74.7,79,53.2,83.1,27.7,50.4,82,2
Universidade de Vigo,8.9,5.3,9.4,18,2.1,4.8,79.9,3.8,74.1,49.4,78.2,85.6,73,75.1,53.4,88.7,28.8,35.3,89.5,2
University of Calabria,6.8,2.3,5.5,22.6,8.3,6.2,81.4,1.7,67.2,46.9,87.4,81.9,77,41.5,50.2,86.7,37.9,39.2,64.3,2
Gazi Üniversitesi,18.6,15.3,6,4.4,1,3.3,56,18.2,58.1,48.2,85.5,59.4,86.3,49.8,44.2,44.5,46.7,42.8,54.9,2
Università degli studi Roma Tre,17.4,8,2.2,12.1,8.5,4.2,62.5,7.1,58.4,52.8,60.6,50.4,55.5,67.1,60.2,70.2,5.2,68.5,84.4,2
"Manipal Academy of Higher Education, Manipal, Karnataka, India",10.9,8.2,42.9,4.4,1.8,7.7,61.2,6.2,58.1,43.5,89.7,69.9,87.2,39.9,36.5,48.5,45.1,38.1,46.1,2
